,etablissement_code_commune,etablissement_commune,Dernier établissement,rentree,AgeBacAvanceOuATemps,AgeBacRetard
59,31555,Toulouse,Institut national des sciences appliquées de Toulouse,2007,0.7657545605306799,0.23424543946932005
60,33281,Mérignac,Université de Bordeaux,2007,0.7338379060233365,0.2661620939766635
61,59009,Villeneuve-d'Ascq,Université de Lille,2007,0.7861749627914668,0.21382503720853316
62,69081,Écully,Centrale Lyon,2007,0.7607192254495159,0.2392807745504841
63,57463,Metz,Université de Lorraine,2007,0.6761133603238867,0.32388663967611336
64,38185,Grenoble,Université Grenoble Alpes,2007,0.6306306306306306,0.36936936936936937
65,35238,Rennes,École nationale supérieure de chimie de Rennes,2007,0.865,0.135
66,31555,Toulouse,Université Toulouse III - Paul Sabatier,2007,0.6850091339522052,0.3149908660477948
67,66136,Perpignan,Université de Perpignan Via Domitia,2007,0.3967301324503311,0.6032698675496688
68,87085,Limoges,Université de Limoges,2007,0.8235294117647058,0.17647058823529413
69,75107,Paris  7e,Sciences Po,2007,0.7760791366906474,0.2239208633093525
70,33522,Talence,Bordeaux INP,2007,0.8645833333333334,0.13541666666666666
71,94028,Créteil,Université Paris-Est Créteil,2007,0.5014518368892816,0.49854816311071837
72,34172,Montpellier,Université de Montpellier,2007,0.6150446167959303,0.38495538320406975
73,73065,Chambéry,Université Savoie Mont Blanc,2007,0.5951859956236324,0.4048140043763676
74,38185,Grenoble,Institut polytechnique de Grenoble,2008,0.7470292044310172,0.2529707955689829
75,35238,Rennes,Institut national des sciences appliquées de Rennes,2008,0.8440366972477065,0.1559633027522936
76,56121,Lorient,Université Bretagne Sud,2008,0.584241628365069,0.41575837163493107
77,59009,Villeneuve-d'Ascq,Centrale Lille Institut,2008,0.8310626702997275,0.16893732970027248
78,38421,Saint-Martin-d'Hères,Sciences Po Grenoble,2008,0.8127978216473791,0.18720217835262082
79,69387,Lyon 7e,École normale supérieure de Lyon,2008,0.8284023668639053,0.17159763313609466
80,75116,Paris 16e,Université Paris Dauphine - PSL,2008,0.6995747615216642,0.3004252384783358
81,13207,Marseille  7e,Aix-Marseille Université,2008,0.662870159453303,0.33712984054669703
82,13001,Aix-en-Provence,Sciences Po Aix,2008,0.782559456398641,0.217440543601359
83,35238,Rennes,Sciences Po Rennes,2008,0.9214501510574018,0.07854984894259819
84,21231,Dijon,Université de Bourgogne,2008,0.6261011543134872,0.37389884568651277
85,38185,Grenoble,Université Grenoble Alpes,2008,0.6822956983302002,0.31770430166979985
86,64445,Pau,Université de Pau et des Pays de l'Adour,2008,0.5970576996560948,0.4029423003439052
87,33522,Talence,Bordeaux INP,2008,0.6710369487485102,0.3289630512514899
88,59009,Villeneuve-d'Ascq,Université de Lille,2008,0.5986725410539566,0.4013274589460434
89,91228,Évry-Courcouronnes,Université d'Évry-Val-d'Essonne,2008,0.45095030102703343,0.5490496989729666
90,63014,Aubière,Clermont Auvergne INP,2008,0.8972332015810277,0.10276679841897234
