Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Université;26940;1336;17543;4645;2628;51454;Reims;Université de Reims Champagne-Ardenne;2019
Grand établissement;210;18;157;23;12;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2019
Autre établissement;1364;115;478;104;667;77083;Champs-sur-Marne;Paris-Est Sup;2019
Université;41875;2529;29177;5049;3519;44109;Nantes;Université de Nantes;2019
École;3066;223;1846;180;817;10387;Troyes;Université de technologie de Troyes;2019
Université;29885;2023;21042;3483;2155;35238;Rennes;Université de Rennes 1;2019
Université;14233;464;9194;2494;1849;62041;Arras;Université d'Artois;2019
École;446;103;267;13;63;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2019
École;4343;466;2877;183;817;60159;Compiègne;Université de technologie de Compiègne;2019
Université;5136;154;3133;1292;257;30189;Nîmes;Université de Nîmes;2019
Université;13196;502;8579;1839;1699;64445;Pau;Université de Pau et des Pays de l'Adour;2019
École;596;54;446;43;53;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2019
Université;9644;310;5947;2225;979;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2019
Université;25115;1220;16129;4956;2503;95127;Cergy;CY Cergy Paris Université;2019
Grand établissement;437;23;212;73;129;35238;Rennes;École des hautes études en santé publique;2019
Grand établissement;420;37;283;39;61;75105;Paris  5e;Muséum national d'histoire naturelle;2019
École;522;93;329;23;77;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2019
Université;3260;937;1264;508;551;98818;Nouméa;Université de la Nouvelle-Calédonie;2019
École;1842;374;1048;26;394;69081;Écully;Centrale Lyon;2019
Université;3863;103;1544;1438;717;97302;Cayenne;Université de Guyane;2019
École;3988;391;2737;134;726;31555;Toulouse;Toulouse INP;2019
Université;8951;273;4965;1622;1908;66136;Perpignan;Université de Perpignan Via Domitia;2019
Université;18650;912;12415;2932;1993;42218;Saint-Étienne;Université Jean Monnet;2019
École;837;102;580;81;74;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2019
Grand établissement;90;6;61;23;;;;Observatoire de Paris;2019
Grand établissement;2971;256;1270;247;1197;75113;Paris 13e;École des hautes études en sciences sociales;2019
Université;21837;833;12634;4467;3584;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2020
Grand établissement;7803;910;5082;351;1460;;;Institut polytechnique de Grenoble;2020
École;2049;231;1391;41;386;35238;Rennes;Institut national des sciences appliquées de Rennes;2020
Grand établissement;219;27;150;26;16;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2020
Université;10962;440;7834;1711;814;56121;Lorient;Université Bretagne Sud;2020
Université;32608;1393;22480;5326;2741;80021;Amiens;Université de Picardie Jules-Verne;2020
Université;12165;637;7496;1686;1602;72181;Le Mans;Le Mans Université;2020
Université;11143;366;6883;1833;1667;83062;La Garde;Université de Toulon;2020
Autre établissement;2217;203;1539;78;397;33318;Pessac;Sciences Po Bordeaux;2020
Université;13596;512;8735;2288;1666;59606;Valenciennes;Université Polytechnique Hauts-de-France;2020
École;469;128;284;11;46;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2020
Autre établissement;4125;152;2897;569;279;81004;Albi;Institut national universitaire Jean-François Champollion;2020
Université;31674;1353;19320;6400;4069;31555;Toulouse;Université Toulouse - Jean Jaurès;2020
Autre établissement;1220;135;984;43;58;35238;Rennes;Sciences Po Rennes;2020
École;3089;274;2180;146;489;;;Clermont Auvergne INP;2020
École;382;34;301;20;27;59512;Roubaix;École nationale supérieure des arts et industries textiles;2020
École;534;92;333;18;91;91228;Évry-Courcouronnes;École nationale supérieure d'informatique pour l'industrie et l'entreprise;2020
École;823;57;610;32;124;29019;Brest;École nationale d'ingénieurs de Brest;2020
Université;32346;1362;20046;5965;4150;92050;Nanterre;Université Paris Nanterre;2020
Autre établissement;1694;207;1264;55;168;69387;Lyon 7e;Sciences Po Lyon;2020
Université;30321;1788;20857;3828;3275;86194;Poitiers;Université de Poitiers;2020
Université;4004;99;1686;1462;713;97302;Cayenne;Université de Guyane;2020
École;4083;401;2860;133;689;31555;Toulouse;Toulouse INP;2020
Grand établissement;10843;1158;6087;367;2959;75107;Paris  7e;Sciences Po;2020
Université;16680;628;9178;4734;1347;29019;Brest;Université de Bretagne Occidentale;2006
Autre établissement;3153;188;2194;688;83;44109;Nantes;Université de Nantes;2006
Université;11981;403;5579;2897;3027;67482;Strasbourg;Université de Strasbourg;2006
Université;15210;584;7968;4303;2233;31555;Toulouse;Université Toulouse Capitole;2006
École;1384;225;891;50;218;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2006
Université;21051;1112;10917;6761;2129;51454;Reims;Université de Reims Champagne-Ardenne;2006
Grand établissement;69;5;45;8;11;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2006
Université;7372;213;3937;2491;531;56121;Lorient;Université Bretagne Sud;2006
Université;24942;1498;12760;6567;3855;6088;Nice;Université Côte d'Azur;2006
Autre établissement;765;40;557;160;8;87085;Limoges;Université de Limoges;2006
Autre établissement;1678;167;1125;177;208;13001;Aix-en-Provence;Sciences Po Aix;2006
Université;11733;448;6166;3600;1076;64445;Pau;Université de Pau et des Pays de l'Adour;2006
Université;3932;241;1940;1107;573;2B096;Corte;Université de Corse Pasquale Paoli;2006
Université;7502;196;3834;2313;1004;68224;Mulhouse;Université de Haute-Alsace;2006
Université;16791;719;8540;4828;2682;38185;Grenoble;Université Grenoble Alpes;2006
École;645;24;400;149;72;29019;Brest;École nationale d'ingénieurs de Brest;2006
Université;29522;2496;17358;6645;3005;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2006
Autre établissement;6291;469;4373;1369;80;59009;Villeneuve-d'Ascq;Université de Lille;2006
Université;29643;1601;13694;10168;4168;92050;Nanterre;Université Paris Nanterre;2006
École;616;51;503;59;3;63014;Aubière;Clermont Auvergne INP;2006
Autre établissement;1666;85;1168;399;14;21231;Dijon;Université de Bourgogne;2006
Autre établissement;2378;114;1712;493;59;67482;Strasbourg;Université de Strasbourg;2006
Université;28254;1734;16586;7151;1605;31555;Toulouse;Université Toulouse III - Paul Sabatier;2006
Université;13618;562;7179;3651;1726;63113;Clermont-Ferrand;Université Clermont Auvergne;2006
Université;10165;277;3553;2633;3698;66136;Perpignan;Université de Perpignan Via Domitia;2006
Université;14140;564;7722;3707;1744;87085;Limoges;Université de Limoges;2006
École;342;42;256;32;12;33522;Talence;Bordeaux INP;2006
Grand établissement;1470;317;784;28;341;92019;Châtenay-Malabry;CentraleSupélec;2006
Université;17694;1705;10558;4003;1419;33063;Bordeaux;Université de Bordeaux;2006
Université;14127;727;7594;3063;2616;63113;Clermont-Ferrand;Université Clermont Auvergne;2007
École;388;38;301;38;11;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2007
Autre établissement;550;43;293;171;42;97209;Fort-de-France;Université des Antilles;2007
Autre établissement;465;19;156;260;30;97302;Cayenne;Université de Guyane;2007
Université;23825;1400;12482;5827;3885;6088;Nice;Université Côte d'Azur;2007
Autre établissement;727;46;524;156;1;87085;Limoges;Université de Limoges;2007
Université;22502;1310;13339;4574;2130;35238;Rennes;Université de Rennes 1;2007
Autre établissement;4312;222;2432;1492;166;94011;Bonneuil-sur-Marne;Université Paris-Est Créteil;2007
Université;9837;708;5565;2453;1110;33522;Talence;Université de Bordeaux;2007
Université;16735;622;9331;4832;1818;54395;Nancy;Université de Lorraine;2007
Université;18318;1013;9893;5543;1779;59009;Villeneuve-d'Ascq;Université de Lille;2007
Université;12232;643;5580;4587;1186;97120;Pointe-à-Pitre;;2007
Université;5684;385;3217;1283;798;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2007
Autre établissement;2000;133;1352;497;18;80021;Amiens;Université de Picardie Jules-Verne;2007
École;895;58;642;134;61;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2007
Université;20926;1173;12426;5172;2147;37261;Tours;Université de Tours;2007
Autre établissement;1394;125;957;127;185;31555;Toulouse;Sciences Po Toulouse;2007
Université;29856;2671;17739;6139;3289;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2007
Autre établissement;1370;148;920;80;222;69387;Lyon 7e;Sciences Po Lyon;2007
Grand établissement;4403;492;2954;483;474;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2007
Université;12738;514;6695;3184;1862;63113;Clermont-Ferrand;Université Clermont Auvergne;2007
Université;13797;532;7712;3336;1811;87085;Limoges;Université de Limoges;2007
École;718;97;463;131;27;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2007
Université;26876;1967;14342;6089;4238;91471;Orsay;Université Paris-Saclay;2007
Autre établissement;3168;234;1995;840;99;13204;Marseille  4e;Aix-Marseille Université;2007
Université;18107;734;10693;4596;1336;29019;Brest;Université de Bretagne Occidentale;2008
Université;15120;553;6971;4377;2980;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2008
Université;14553;736;7949;2978;2798;63113;Clermont-Ferrand;Université Clermont Auvergne;2008
École;432;42;331;47;12;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2008
Université;35543;2302;17014;8084;6964;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2008
Université;25938;1557;13759;6141;4441;6088;Nice;Université Côte d'Azur;2008
Université;16370;1097;7053;3358;4451;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2008
Université;10193;373;5045;3502;1126;77083;Champs-sur-Marne;Université Gustave Eiffel;2008
Grand établissement;6850;642;3275;1644;1284;75107;Paris  7e;Institut national des langues et civilisations orientales;2008
Université;23463;970;11446;6761;3904;31555;Toulouse;Université Toulouse - Jean Jaurès;2008
Université;17774;982;10472;4039;2254;49007;Angers;Université d'Angers;2008
École;583;72;425;27;59;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2008
Université;6485;184;2879;2096;1247;76351;Le Havre;Université Le Havre Normandie;2008
École;2394;88;1364;477;465;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2008
École;1459;145;970;90;254;76451;Mont-Saint-Aignan;Institut national des sciences appliquées de Rouen Normandie;2008
Université;21469;916;6923;6434;7192;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2008
Université;11930;639;5733;4386;998;97120;Pointe-à-Pitre;;2008
Université;6700;228;3387;1912;1129;17300;La Rochelle;La Rochelle Université;2008
École;393;20;240;85;48;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2008
Université;13408;587;7288;3184;2005;63113;Clermont-Ferrand;Université Clermont Auvergne;2008
École;191;20;148;19;4;87085;Limoges;Université de Limoges;2008
Université;17671;862;8873;4050;3873;59009;Villeneuve-d'Ascq;Université de Lille;2008
Université;10983;466;6128;3098;1277;73065;Chambéry;Université Savoie Mont Blanc;2008
École;591;89;393;13;96;13213;Marseille 13e;Centrale Marseille;2009
Université;22294;1162;11014;6159;3455;13203;Marseille  3e;Aix-Marseille Université;2009
École;355;45;259;13;38;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2009
Autre établissement;1262;92;411;181;578;77083;Champs-sur-Marne;Paris-Est Sup;2009
Grand établissement;9260;934;5591;1070;1665;75116;Paris 16e;Université Paris Dauphine - PSL;2009
Grand établissement;6767;616;3196;1687;1267;75107;Paris  7e;Institut national des langues et civilisations orientales;2009
Université;24201;1488;13184;6772;2643;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2009
Autre établissement;1791;174;1247;165;205;13001;Aix-en-Provence;Sciences Po Aix;2009
Université;3276;90;1697;1282;131;30189;Nîmes;Université de Nîmes;2009
Université;15836;647;8994;4229;1966;45234;Orléans;Université d'Orléans;2009
Université;18504;1028;10868;4152;2400;49007;Angers;Université d'Angers;2009
École;599;80;425;34;60;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2009
Université;15247;671;7937;4182;2189;33318;Pessac;Université Bordeaux Montaigne;2009
Université;7861;201;4250;2105;1218;68224;Mulhouse;Université de Haute-Alsace;2009
École;2433;91;1368;460;514;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2009
Grand établissement;117;11;64;13;29;75105;Paris  5e;Institut de physique du globe;2009
École;397;29;246;51;57;59512;Roubaix;École nationale supérieure des arts et industries textiles;2009
École;279;26;216;7;30;63014;Aubière;Clermont Auvergne INP;2009
Université;5555;366;3197;1255;734;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2009
Université;7162;248;3667;1990;1231;17300;La Rochelle;La Rochelle Université;2009
Université;34364;3087;21001;6989;3286;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2009
Autre établissement;1574;172;1047;110;244;69387;Lyon 7e;Sciences Po Lyon;2009
Université;25096;2212;16494;4390;1999;59350;Lille;Université de Lille;2009
École;200;20;149;26;5;87085;Limoges;Université de Limoges;2009
Grand établissement;6876;1060;4330;415;1010;75107;Paris  7e;Sciences Po;2009
Université;10777;353;5786;2969;1668;59183;Dunkerque;Université du Littoral Côte d'Opale;2009
Université;11289;438;6440;3077;1323;73065;Chambéry;Université Savoie Mont Blanc;2009
Université;3243;172;1594;1238;239;98738;Punaauia;Université de la Polynésie Française;2009
Université;15663;741;8621;2994;3123;63113;Clermont-Ferrand;Université Clermont Auvergne;2010
Université;13823;297;6879;3942;2530;57463;Metz;Université de Lorraine;2010
École;1449;224;921;58;246;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2010
Université;36809;2326;18540;8094;6633;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2010
Autre établissement;1440;95;486;225;634;77083;Champs-sur-Marne;Paris-Est Sup;2010
Université;26197;1553;13973;5931;4738;6088;Nice;Université Côte d'Azur;2010
École;2418;123;1302;334;659;10387;Troyes;Université de technologie de Troyes;2010
École;3799;294;2478;353;674;60159;Compiègne;Université de technologie de Compiègne;2010
Université;21824;791;10481;6272;3984;31555;Toulouse;Université Toulouse - Jean Jaurès;2010
École;622;55;455;66;46;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2010
École;2545;103;1426;460;556;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2010
École;306;64;215;15;12;91477;Palaiseau;Institut d'optique Graduate School;2010
Université;9534;245;4159;3717;1322;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2010
École;1615;134;1233;134;114;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2010
Université;11653;523;7127;3495;506;97411;Saint-Denis;Université de La Réunion;2010
Autre établissement;1587;139;1176;123;149;31555;Toulouse;Sciences Po Toulouse;2010
Université;17566;1053;11435;3136;1942;54395;Nancy;Université de Lorraine;2010
École;3498;366;2178;222;732;31555;Toulouse;Toulouse INP;2010
École;798;82;518;189;9;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2010
Grand établissement;93;10;46;13;24;75114;Paris 14e;Observatoire de Paris;2010
École;298;58;211;18;11;75105;Paris  5e;Chimie ParisTech-PSL;2010
École;1699;149;1150;74;326;35238;Rennes;Institut national des sciences appliquées de Rennes;2011
