Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Université;19000;829;11152;4442;2471;31555;Toulouse;Université Toulouse Capitole;2013
École;368;38;279;10;41;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2013
Université;38924;2294;20080;7760;6800;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2013
École;2550;142;1481;296;631;10387;Troyes;Université de technologie de Troyes;2013
Université;24446;1743;14744;4785;3034;34172;Montpellier;Université de Montpellier;2013
Grand établissement;10237;1287;5967;1002;1979;75116;Paris 16e;Université Paris Dauphine - PSL;2013
Autre établissement;1903;203;1210;116;374;33318;Pessac;Sciences Po Bordeaux;2013
Grand établissement;6590;571;3160;1611;1247;75113;Paris 13e;Institut national des langues et civilisations orientales;2013
Université;16526;1192;9989;2961;2355;75105;Paris  5e;Université Panthéon-Assas;2013
École;439;57;302;14;66;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2013
Université;3658;95;1951;1349;146;30189;Nîmes;Université de Nîmes;2013
Université;21132;1168;13383;4051;2529;49007;Angers;Université d'Angers;2013
Autre établissement;2204;142;1462;540;60;59350;Lille;Université de Lille;2013
Autre établissement;1163;148;835;59;121;35238;Rennes;Sciences Po Rennes;2013
Université;16667;1278;10743;3147;1497;38185;Grenoble;Université Grenoble Alpes;2013
Université;30412;2636;17033;5959;4784;75106;Paris  6e;Université de Paris;2013
Université;7444;204;4118;1756;1358;68224;Mulhouse;Université de Haute-Alsace;2013
École;720;82;503;85;50;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2013
École;1151;81;795;112;163;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2013
Université;18660;906;10079;5128;1946;59009;Villeneuve-d'Ascq;Université de Lille;2013
École;351;27;284;13;27;63014;Aubière;Clermont Auvergne INP;2013
Université;16925;923;9415;4340;2104;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2013
Université;5568;364;2983;1210;1008;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2013
Université;2618;610;885;611;512;98818;Nouméa;Université de la Nouvelle-Calédonie;2013
Université;7331;287;4260;1789;981;17300;La Rochelle;La Rochelle Université;2013
École;870;66;561;102;141;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2013
Université;22916;1417;14441;4717;2332;37261;Tours;Université de Tours;2013
Université;35232;3270;22453;6163;3345;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2013
École;807;24;509;142;132;57463;Metz;Université de Lorraine;2013
Université;32381;1397;15993;9330;4684;92050;Nanterre;Université Paris Nanterre;2013
Grand établissement;5726;583;3841;535;767;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2013
École;3617;435;2401;233;547;31555;Toulouse;Toulouse INP;2013
École;189;15;145;15;14;87085;Limoges;Université de Limoges;2013
Université;16578;767;9071;4003;2673;42218;Saint-Étienne;Université Jean Monnet;2013
École;1097;60;502;233;302;75105;Paris  5e;IAE Paris - Sorbonne Business School;2013
Université;10071;360;5516;2539;1656;59183;Dunkerque;Université du Littoral Côte d'Opale;2013
École;1595;276;931;61;327;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2014
Université;23626;1286;13988;5997;2239;51454;Reims;Université de Reims Champagne-Ardenne;2014
Université;38308;2225;19616;7268;7021;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2014
École;1800;368;1128;57;247;94016;Cachan;École normale supérieure Paris-Saclay;2014
Université;25274;1374;14322;6245;2537;80021;Amiens;Université de Picardie Jules-Verne;2014
Grand établissement;9507;989;5798;1004;1713;75116;Paris 16e;Université Paris Dauphine - PSL;2014
Autre établissement;1839;195;1165;97;382;33318;Pessac;Sciences Po Bordeaux;2014
École;440;65;310;12;53;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2014
Université;3965;125;2146;1401;108;30189;Nîmes;Université de Nîmes;2014
Université;15826;737;9258;3882;1947;45234;Orléans;Université d'Orléans;2014
Université;26932;1100;13987;7342;3995;31555;Toulouse;Université Toulouse - Jean Jaurès;2014
Université;21220;1191;13665;3821;2540;49007;Angers;Université d'Angers;2014
École;689;111;462;27;89;86062;Chasseneuil-du-Poitou;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;2014
Université;27408;1481;16960;5724;2827;21231;Dijon;Université de Bourgogne;2014
Grand établissement;82;8;43;2;29;75105;Paris  5e;Institut de physique du globe;2014
École;409;38;289;32;50;59512;Roubaix;École nationale supérieure des arts et industries textiles;2014
Université;15799;900;9000;3811;1975;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2014
